Estado,Habitantes,Área,Densidade
DF,2570160,5780.0,444.6643598615917
RJ,15989929,43780.24999999999,365.23155989287415
SP,41262199,248223.21000000002,166.23022077588956
AL,3120494,27778.51000000001,112.33482285406953
SE,2068017,21915.130000000005,94.3648064145638
PE,8796448,98148.49999999996,89.62386587670727
ES,3514952,46095.64000000002,76.25345911240191
PB,3766528,56469.880000000005,66.69976985961365
SC,6248436,95736.29,65.26716253575317
RN,3168027,52811.13,59.987866194114766
CE,8452381,148920.59000000005,56.757638416554734
PR,10444526,199308.08,52.403926624550294
RS,10693929,268766.50999999983,39.78891938582678
MG,19597330,586522.4299999998,33.41275456422017
BA,14016906,564733.3700000005,24.82039621635957
MA,6574789,331937.60999999987,19.807303547193712
GO,6003788,340111.98999999993,17.652385615690882
PI,3118360,251577.86000000002,12.395208385984363
MS,2449024,357145.55,6.857215496595156
RO,1562409,237590.56000000006,6.576056725486062
PA,7581051,1247954.71,6.074780550329427
TO,1383445,277720.54000000004,4.981428453221357
AP,669526,142828.54000000004,4.687620555387599
AC,733559,164123.06000000003,4.469566921308925
MT,3035122,903366.2899999999,3.3597910765521264
AM,3483985,1559159.1899999995,2.2345280856151715
RR,450479,224300.51,2.0083726069102563
